Rating,Review
5,"Update 2: currently on 10.3.4 and after almost a year the device is still going strong. No signs of slowing down or any kind of performance deterioration. Last geekbench 5 score was same as the day I got it, which means oxygen os is still optimized perfectly. Only drawback for this device is fingerprint reader which slowly starts to forget your fingers and doesnt recognize them if you have more than 2 fingers enrolled.Update 1: just got the new update to oxygen OS 10.0.3 and the issues with the gaming mode are gone....Been using this for 2 days now and let me say this first this is a great device and I am really really glad I bought this and not Samsung Note 10. Now here is my review broken down in Pros and Cons list.Pros:Comes with pre-applied screen guard and a transparent silicon case in the box.As always Cable quality is great and Charger is well built.Display quality is great and as in the spec sheet it is a HDR10+ certified display which provides gorgeous colors and great viewing experience.In-Hand feel is also great, the device has a weight to it that doesn't make it too heavy or to light to use.The back glass is slippery but not as slippery as previous OnePlus devices.I have big hands so I can easily reach the far corners for gesture navigation.Performance is just top notch. I haven't used any device till now that can surpass the fluidity of this device. Everything feels so natural and seamless.The 90Hz display is just great and adds to the faster experience of the device.Speakers are not as good as the ASUS ROG Phone 2 or the iPhone XS PRO MAX but they are great for the price range and may be equal to Samsung Note series.Call quality is great on JIO and Vodafone networks, Mic also performs a great job in cancelling the ambient noise so the other party can hear your voice clearly in both loudspeaker and normal modes.Charging speeds are great too. Got the device fully charged from 15% tot 100% in just and hour and that is great.The new Android 10 with Oxygen OS is great and fluid as I said earlier but there are still some bugs to be fixed by the OnePlus team.The front camera is great for casual selfies in ample light situations but in low light the software is not yet optimized yet.The same goes for the triple camera setup at the back. It is a good camera but can be made better using the software. In a lot of light the pictures comes great but sometimes the colors are faded out. in Low light there is a bit much noise for my liking and same goes for the Macro shots.Battery life is great and I am constantly getting around 5hr of screen on time with my average to above average usage of the device.Cons:Hardware wise there are no cons in the device but software wise there are a bit of bugs and much needed improvement.There is a bug whenever I open a Game or any graphics intensive app the screen first goes to black and then O have to lock the device and unlock it again using the face unlock to get to the game screen.The Camera software is not optimized yet.Battery life can be an issue for some users.The Navigation gestures are the worst to ever grace the Android Screen. They are slow, Clumsy and needs a lot of getting use-to by someone who is coming from the older OnePlus gestures. Not to mention the issues I feel while using the Back gesture with the tall side ridges in the provided case. I have to literally put pressure on the thumb to dig into the edge of the display and the ridge of the case to get it working every-time and now I have switched back to older 3 button navigation.
https://images-na.ssl-images-amazon.com/images/I/61+D92CQhzL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61Q2q3hsUZL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61nv5o1YqCL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/711llCXmalL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/713Pboqhb-L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/716XTVqDzWL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/7181S9WxD5L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71ENImEUW0L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71eJ3FG3ptL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71stz6kb9TL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71ty7PiHZFL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81n8H1YWXUL._SY88.jpg"
5,"This is my review after 2 days :Screen: Coming from a screen with a higher resolution than the 7T, I was weary about the screen. However the AMOLED screen on this phone blew me away with it's contrast and brightness. The 90Hz screen is another killer feature. A lot of people still seem to wonder if it makes a difference, I think it does. A friend of mine who hadn't heard of this phone before tried it and was immediately impressed by the smooth scrolling and animations.This is most definitely the best aspect of this phone.Performance: This is phone is rapid! I haven't encountered a hiccup yet. I do not game and hence cannot comment on the gaming performance. However I am a heavy user and didn't find anything that slowed down this phone. I'm also very pleased with the clean Android experience with Oxygen OS's useful features. Both face recognition and the finger print scanner are fastBattery: This is where I was seriously doubting the capabilities of this phone. However I'm pleased to report that I've had more than 6.5 hours of screen on time on both days. This included a lot of YouTube and Netflix using the phones speakers. This phone should easily get you through a day of use. I had also kept WiFi, Mobile Data (4G) and Location on at all times. Unless you are expecting something that lasts for 2 days , this phone won't disappoint. The new Warp charge 30T is amazing as well.Speakers: The speakers are something I did not consider much about while purchasing this device. But they've impressed me immensely. Dialogue is crisp and it gets plenty loud. I did try using my wired earphones with a OnePlus USB-C to 3.5mm adaptor and I didn't have any issues with the sound.Cameras: I have not tested the camera enough to post a review about them, nor am I a photographer. I will update this review when I do take more picturesHand feel: The phone feels solidly built. I did expect it to be heavier. It doesn't feel heavy at all and the weight is distributed very well, making it very easy to hold. Make no mistake, it is a large phone. However I found it much easier to handle than the 7 Pro which I was considering thanks to the flat screen, slightly narrower width and the evenly distributed weight.I do wish they did provide a USB-C to 3.5mm adaptor in the box. (3.5mm jack would be ideal. But that ship has sailed). Apart from this minor gripe, I'm very happy with this purchase.(For context, I have used a Samsung S5, iPhone 6, iPhone 6S Plus, iPhone 7 Plus and Nokia 8 as my daily drivers before this)
https://images-na.ssl-images-amazon.com/images/I/61+8871W8EL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61OXyYtuwTL._SY88.jpg"
5,"Changed from a Pixel XL (1st gen first-adopter) to this phone and I must say, I do not regret it at all! This is a review after having used the phone for about 3 days.Let me start with listing out the pros and cons.Pros:# Beautiful display with accurate colour reproduction# Pretty loud surround speakers! The earpiece doubles as a speaker and is neatly placed at the top edge of the phone. (I would use about 80% volume on the Pixel, one the 7T I find 30% to be loud enough!)# Camera images are pretty good! I still find the Pixel to be a better shooter, but the 7T is not far behind. Just requires you to have a more steadier hand when clicking.# 128gb of space with 100+ usable memory and UFS 3.0!# 8gb RAM which is plenty sufficient for everyday usage.# Oxygen OS which will help you tweak all the above to suit your specific requirements.# Super tiny notch which seamlessly merges with the icons at the top.# Sturdy transparent case and screen protector applied straight off the box.# Charging speed is truly amazing! I got about 85% in 30min!# Gesture control is smooth and dark mode is quite neat.# Fingerprint reader is really quick which is a happy surprise coming from my experience with the OP7 which was sluggish.Cons:# No headphone jack dongle!# Battery backup is not great, but it can last you a day max with average usage.# No control on notch display for those looking for it.# Found the auto-brightness to be very effective under direct light but it gets too dark when the phone is angled away from light. This could probably improve with usage.I would definitely recommend this phone for anyone looking for the latest SoC and tech hardware at a reasonable price. I was able to exchange and pick this up at ~10k lesser than the MRP.The Pixel had set me back by 76k and from a value-for-money perspective, the 7T checks all the boxes!"
5,"**Will upload photos soon**Ordered this on 28th September and had it delivered a day ahead today. I'm simply mesmerized to be honest with device's overall performance. Please don't go by the YouTube review about the box and its contents cause on reality, you get just the phone packed in its box. No earphones are included in the purchase although it was mentioned in the description while buying it.Pros:1) Stunning camera and it does delivers awesome quality. I'll upload some shots soon. The slow vid and 4k 60fps are two major plus signs. The wide and the ultrawide shots are amazing along with the macro which I'm yet to explore more.2) The screen!! It's super smooth and navigation is simply effortless. The typing response is best I've ever experienced and so is the color balance that you can set as per your preference.3) The weight and build quality is premium and defines the phone as a flagship buster. I ordered the blue one and it's quite an effect on itself.4) Silicone case is included and a thin screen protector film is already applied. The case is not a usual cheap stuff but good one.5) Dolby Atmos. Now, I've been using Dolby Atmos for more than 3 years and can tell you that it's a must for people deeply rooted into music.Cons: Device has no cons in terms of looks, performance or build quality however, I expected a bit louder speaker output. The phone without the cover is quite slippery and can easily fall off so I'm being extra careful with my new baby.Overall, this did satisfy my expectations to a great limits considering the fact that I was never an OnePlus guys. This is my first."
5,"Let me start with tag BOOM??It has every thing you wantPros1.snapdragon 855+ extremely smooth and eccentric performance2.android 10 out of box is quite fantastic3.ram management is effective and most of the time u have 70% of the ram available as free even after gaming .4.the display is epic and I personally prefer flat screen so it is nice smooth and fabulous the 90hz display is extremely satisfying and even it has an option to reduce to 60hz which is quite handy.5. Camera is absolutely amazing ,crisp quality top notch performance low light to outdoor perfect scenarios the camera performes as expected and crazy as hell.even the 4k video with 60fps is stunning . Front can is quite good with nice color contrast and white balance gets u wonderful indor and outdoor selfies .6.gaming beast .pubg, cod , fortnite runs extremely smooth with 90hz display the games are amazing.7.battery is good as it lasted me a day with 20% remaining that to playing games for 10 to 20 min with gps and mobile data on for the most of the time .avg on screen time 6hr 20 min to 7hr (if not playing games and gps turned off ...u get better time).8.WARP charge is beast .In 20min the phone charged from 8% to 84% which is silly fast and crazy as hell . Charge for 20min and enjoy full day battery .9. one more thing it even now support hdr streaming in Netflix and prime which is quite good and satisfying ( I didn't check with previous ones if they have ignore this point).10.oxygen OS is upgraded and customization is very nice and for dark and theme lovers it will be extremely satisfying and convinient to use .11.build quality is amazing the panel is smooth and matte like feel is nice .it comes with preapplied protector on screen and it's good .we get PVC back case which is nice and firmly holds the phoneCons:1.the mighty headphone jack is gone and it's quite a bummer . One plus doesn't provide the extended type c to 3 .5 mm jack which is disappointing, but in the world of Bluetooth this can be adjusted.2.NO LED NOTIFICATION LIGHT this is personal choice and I prefer to have notification light which indicates any notifications and charge indication..3.no memory slot which is kind of ok with me but still who doesn't want extra storage ??Verdict: premium phone with flagship features and BEST BANG FOR THE BUCK . If u are premium lover just go for it .go.goo..gooooo.
https://images-na.ssl-images-amazon.com/images/I/61essFovPlL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71nNdDlQgaL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81SJw60gk0L._SY88.jpg"
5,"Inside the box:-You only get the handset and the charger and a transparent case, you won't don't get any headphones.Pros:-1) The one thing that attracted me to buy this phone is its Screen. Believe me it's the best part of this phone. You can clearly feel the difference between a 60hz display and a 90hz display. The amoled panel reproduces amazing colors and it also gets decently bright.2) Duel Speakers, this has 2 speakers. One in the bottom of the phone and one in the earpeice. I think this has Dolby Atoms as well. You ll have a really good experience when it comes to audio.3) The phone is really smooth and works like butter thanks to its 90hz Screen and top end specs, switching between the apps, scrolling feels really fast.4) Cameras - the cameras on this are pretty decent and the front facing camera is not a pop up one so no moving parts. The notch is small.5) Super fast charging - phone comes with the fast charger inside the box and it's crazy fast to charge the phone. It's faster than OnePlus 5.6) The Screen - ohhh the screen.. viewing content on this screen is mind blowing.. its the best part of this phone.Cons:-1) Size of the phone, when it comes to the dimensions of the phone I think it gets really tricky to handle this phone while typing or vertical use. Its a bit heavy as well. The phone is a bit thick as well as compared to Oneplus 5 my privious phone which was the perfect size and weight.2) I think the battery backup could have been better. The screen eats up the battery. I was not using my phone that intensively and still the battery drained faster as compared to my previous phone. (Fast charging helps though)3) No headphone jack - well this was going to be the deal breaker for me in buying this phone but I went for it. This phone doesn't have a headphone jack and also OnePlus doesn't even provide the type C to 3.5mm adapter out of the box.. will have to buy it separately or use bluetooth headphones which will again have a toll on the battery life.4) The big camera bump on the back. Yes it's too big and if you don't use a backcover you phone will always be uneven on the surface. It looks not that great too.5) And one thing that I noticed is that this phone comes with a pre applied screen guard, but the plastic doesn't cover the whole screen area, so when I had the back gestures enabled from the right bottom corner my finger used to scrach on that screen guard which was very unpleasant and I was worried that constant scratching might loosen the screen guard and it would peel off or something, so I had to disable those gestures and use the on Screen buttons to navigate.6) I dont know if its the software issue or the camera itself but the picture quality of the cameras is not that great or what I was hoping for.All in all. This is a good phone for the price that it comes."
5,"The brand has delivered once again. I have been using the OnePlus 7 before this. But the 7T is not just an incremental upgrade. It has much more to it. Let's start with a few key differences between the OnePlus 7 and 7T1) The vibration motor has now haptic feedback. Much better than linear motor on op 7 and almost similar to OP7 Pro. I love it.2) The phone is slimmer and has a better feel in hand though bigger but has a more sharp corners which adds decency in contrast to rounded corners on OP7. Also notch size is reduced.3) the cameras. Well everyone knows about the cameras. I would like to say that the macro lens that uses the ultrawide lens, is not just a gimmick. It can take photos of fabrics that even the eyes cannot see.4) the smoothness of 90hz screen is just really good to experience.5) The antutu benchmark score. 400000 in comparison to 370000 of oneplus.6) the dual speakers. The ear piece speaker has now higher volume than bottom speaker. On the 7 it was opposite. Also 7t's sound is slightly richer than 7.7) Well the warp charge 30T really adds up. It charges the phone from 0 to 67 in 30 mins. And 0 to 100 in 61 mins. Saves a lot of time. Whereas the 7 takes 86 mins.8) it comes pre installed with Android 10. So 2 Android updates are guaranteed. Whereas 7 came with Pie. Most likely to get an update less.Well now the cons:1)I got a little defective piece. The screen adhesive was slightly visible on left hand side. So opted for a replacement.2) The wifi sometimes disconnects and thrn reconnects on its own. Maybe a software issue. OnePlus might fix it soon.Well got it for 36k from Amazon. A must buy phone. Cannot keep myself from recommending. Kudos to OnePlus."
5,"OnePlus 7T is an excellent device and different from OnePlus 7 and could have been named as 8 instead of 7T.But THIS CANNOT BEAT OnePlus 7 Pro. Read below the Pros, mids, cons, and verdict.PROS (POSITIVES):1) Design: OnePlus 7 was not at all looking premium. But this time, the 7T is a mastered design piece. Earlier the camera bump was very ugly. Now it looks very beautiful due to its circular placement. And it looks very premium due to matte-finish and well suited for all kinds of people.2) Weight & thickness: The device doesn't feel heavy at all due to balanced weight management and it is very easy to handle due to slim 8.1 mm thickness.3) Processor: This device hosts the world's fastest processor - Snapdragon 855+ chipset processor. So everything is butter-smooth. This has been always their flagship area.4) UI: There is no smartphone user interface as simple and as powerful as on OnePlus devices. Oxygen UI is always the king of all other UIs.5) Battery: Optimised in latest Oxygen and latest Android 10, provides very nice battery backup.6) Sound: Along with the loudness, there is Dolby Atmos 360 degree revolving sound effect. This is really excellent. Clarity is amazing.7) RAM: RAM management is always good on OnePlus devices and one need not worry how the Oxygen OS handles the RAM. And even base variant comes in 8 GB this time.8) Dash Charger: OnePlus' master technology which is there from past so many years, continues to be still the world's best technology in the chargers segment. No other brand can provide this kind of advanced and fastest charger.9) Alert Slider: Alert slider is very, very smooth from 7 series. One loves to use the alert slider even when not necessary.10) Fingerprint sensor: The world's fastest in-display fingerprint scanner I can say.11) Brightness: OnePlus 7T has more brightness compared to 7. Excellent.12) Vibration Motor: As OnePlus promised from 7 series, the vibration motor will be 200% strong, we can really feel that. There is no rattling sound even when it was tested on the highest intensity. And the haptic feedback is really amazing to feel.13) Storage: Thanks to UFS 3.0 storage technology for faster data transfers.14) Screen Guard: Last time a few users complained that the applied screen guard had some bubbles, specks of dust, misplacements, etc. But this time, I think they have taken special care and it is excellently applied without any issues.15) Camera: Though camera quality is good on OnePlus devices, they provide a very simple interface with no features at all.MIDS (NEUTRAL):1) Display: I have multiple OnePlus devices in my family. OnePlus 7T's display's color calibration is not good WHEN COMPARED TO OnePlus 7 Pro or even OnePlus 5T. I am a little surprised about this. I tried to adjust the color calibration manually in so many ways, but I never got the colors like on 5T or 7 Pro. I feel the red or magenta is lacking in the device. I think, this they may fix through updates. But however, please note that this cannot be identified by everyone. Since I work in the multimedia segment, I can easily catch the differences. Hence I am putting the display, not in CONS, but MIDS, considering average or neutral.2) Case: The provided TPU case is very nice and looks like it gives strong protection even if it falls. But the case is glossy/shiny. When the device is matte, what is the use of a glossy case?3) No Pop-up Selfie Camera: If this is provided, the device's thickness increases. If not provided, no 100% display. I personally prefer the device's thickness rather than a popup. This is left to individuals and hence I have categorized this in this Mids section.CONS (NEGATIVES):1) Navigation Gestures: I am very much surprised to see that OnePlus have REMOVED an option to go back to the previous screen by swiping bottom right to the top. One can go back to the previous screen only by swiping right to left or left to right (just like on MI devices) and not bottom right to top like earlier. I think they will add this feature in the coming updates. Because I guess this is the default feature of the new Android 10.2) Color Options: I don't know the plans of OnePlus when it comes to colors. Their color schemes and releases are always frustrating. Now they have released two colors: blue and silver. But silver is not available in the 256 GB variant. This is frustrating. And after a few days, to frustrate the old buyers, they will release one more beautiful color, just like they did for OnePlus 7 (by releasing mirror blue) or for OnePlus 7 Pro (Almond White). So the one who buys, in the beginning, is frustrated. And even the one who buys later is also frustrated, because again in just a few months, the next version of OnePlus gets released. I think there should be some intelligent strategies by OnePlus regarding these things. Just like Samsung and Apple, they manufacture the old devices even after years. Samsung's S8/S9 is still current. J7 is still current. Apple's very old iPhones are current.VERDICT:Due to its many pros, I really like to rate the device 5 stars. But this is definitely NOT an upgrade or replacement to OnePlus 7 Pro. OnePlus 7 Pro is very premium having curved edges, QHD display with excellent color calibrations. But this is definitely a complete upgrade for OnePlus 7 users. I recommend this to everyone. Don't ever think to buy K20 or other 855+ chipset devices thinking that they are cheaper compared to this. No. OnePlus cannot be compared to other brands. Blindly go for this.
https://images-na.ssl-images-amazon.com/images/I/71o1kzYm0KL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81BNiq7Ef5L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81P6ZrdPhRL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81avJmpIGiL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81np1+KyviL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/91vUnedIsxL._SY88.jpg"
5,"The OnePlus 7T packs the latest Qualcomm Snapdragon 855+. Processing power has never been an issue with any OnePlus phone. It not an issue with the OnePlus 7T either. The phone is fast, responsive and can easily handle all multitasking, high-end videography and multi-tab browsing. The phone can manage all tasks quite well. In the few couple of days I used the phone, I never felt it was slowing down or heating up. The best aspect of OnePlus 7T camera for me is its super macro mode, which lets you get really close to a subject and click some very impressive photos with the kind of detail I have rarely seen in a smartphone camera.The Oxygen OS on the phone is based on the latest Android 10 version and this is a big plus for anyone opting for the OnePlus 7T. The OnePlus 7T has a 3800 mAh battery that can easily last a day of usage. But the new fast charge is faster than before and can bring it back up to full juice in about 45-50 minutes.Overall, performance is top notch be it switching between apps, typing a Google document, editing a photo or playing Asphalt 9 at best graphics settings.This time it is not just the under the hood upgrades that make the OnePlus 7T a catch. The bigger screen, refreshing new design, and the triple cameras are some of the other features that make it stand out in the price segment even at a slightly elevated price."
5,"I had been using Mi for the past 4 years. Loved the software experience there but I knew something was lacking on the hardware end.I decided to switch over to some real flagship grade phone around the 40K mark like S10e or Pixel 3a and I had almost bought either one, just when the pics of the OnePlus 7T were teased online by OnePlus.The design of the OP7T had my attention immediately ! And I decided to wait for it.Not much review and comparison videos for the 7T were available before the first sale , but blown away by the sheer looks of 7T, I instantly bought the OnePlus 7T as soon as it went on sale on 28th and trust me I will never regret my decision to choose OnePlus.I will now classify this review category wise:-DESIGN: The design looks fabulous. Elegant is the right word for the Frosted Silver colour. The matte frosted glass back and the circular camera looks dope! Not at all fingerprint magnet unlike previous 1+ Mirror finishes.IN-HAND: The phone is taller than OnePlus 6T (for comparison) but is a tad thinner and feels lighter. The overall in-hand feel is great due to the curvedback glass and narrower width and even when you hold it without a case, it doesn't slip. It feels premium for sure.CAMERA: The triple camera setup is a serious upgrade over the previous OnePlus as well as Mi phones. The photo quality is great. Sharp and detailed images are produced by these camera.The nightscape images are good too. The macro mode is something I've never seen on any phone before . The macros are so up close and detailed. Check my Nightscape and Macro mode samples.The main camera has OIS and EIS and the videos are really stable. That's what I was talking about the OIS as a hardware feature was lacking on my previous mid range phones.And I am so glad it has a small notch for the front camera instead of pop up camera, as I'm not a fan of pop up cams and I just doubt their longevity in real world conditions.BATTERY: First of all the WARP charge is some serious tech. I mean from 10% to 100% it just charged in less than an hour. Also, OnePlus claims that you can plug in your phone and can use it as well as play games while the phone is charging and there won't be any heating issues.As for the battery back up, on the first day after setup the battery drained really quickly, even on standby. But in the next couple of days the Android 10 AI kicked in and it learnt my usage pattern and started giving me notifications as to which app is draining battery and asked me to optimise it. Also it showed a notification that it had restricted background activities of certain apps overnight when I was not using the phone.I also tweaked the background activities and battery optimisation of certain apps manually and trust me now my phone is giving me a day and a half's backup.Moreover the full dark mode in the Developer options looks dope as well as save a lot of battery as it's an AMOLED screen.SOT: My Screen On Time immediately before this review was around 7 hours with 30% battery still left and time since last charge was 18 hours. No gaming in these 7 hours, but I watched Netflix, YouTube , used WhatsApp, Twitter, Instagram browsed the web, made calls and my 4G data was active the entire time.[UPDATE: After receiving a small 112MB update for bug fixes and camera improvement, my SOT was a little over 9 hours 30 minutes ,over a Day and a half's usage, which is insane considering the 90Hz display. Well SOT and battery backup total depends on usage pattern. Mine includes calling, texting, browsing , social media over 4G mobile data....but no gaming so far]SCREEN: 7T has a large and dynamic screen with really good contrast and rich colours. You can calibrate the display as per your taste. The much hyped 90Hz display is true. You can really feel the difference between a 60 HZ and a 90HZ. 90Hz is so much smoother.SOFTWARE: 7T came with Android 10 out of the box. What more can you ask for! Also the Oxygen OS is great. Stock Android with a few improvisations and minimum bloatware. It's an amazing experience overall.PERFORMANCE: Well here the numbers say it all. Check the Antutu scores. It just tops the list. Blazing fast speed and performance. Instantly opens and switches apps without any lag. Didn't face any hang or freeze issues so far. No device heating issues so far.HAPTIC FEEDBACK: Guys you really need to feel it to believe it. The haptic feedback you feel while typing or playing a notification sound or music is just next level.CUSTOMER SUPPORT: I didn't encounter any issues to be calling customer care ,but I called them to inquire about how to avail the ""Free 1-Year Extended Warranty"" . Yes you read it right. OnePlus just offered a complimentary extended warranty and you should just avail it. Well as for the customer care I was very well guided as to how to avail it . Also they were really polite and courteous and also followed up.PROTECTION PLANS: I would seriously suggest you to just consider checking out the protection plans on OnePlus website. They are pretty economical and would just provide you an assurance that you device is covered from accidental drops or water damage. I bought one and it now gives me a peace of mind that the premium price I paid for this device, is insured.All in all I would say it's a True Flagship device in the 30's price bracket.I just don't know what else a flagship phone can pack in more , perhaps wireless charging and IP68 rating!But those 2 features aren't a deal breaker as the WARP charge is like twice or thrice as fast as wireless charging, which leaves wireless charging just a mere showoff feature as you really can't use the phone while wirelessly charging it. I don't find any practicality in wireless charging.As for the IP rating I would say it's ""Unofficially"" fairly water resistant. Checkout various water drop tests on You Tube. But just don't try them :PWell, just go for this phone ( if your budget allows) for a true FLAGSHIP EXPERIENCE, You won't regret buying it.
https://images-na.ssl-images-amazon.com/images/I/716dKGkF-qL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/717bCKR6jLL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71TSzOfKHyL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71cYl-Jj55L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71ukKX+fy+L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71zAxaYcByL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/819Gk1SO8-L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81B2EKFMtgL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81r97hbX70L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81tx7k-LYhL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/81uN3ooYDBL._SY88.jpg"
